YEAR,TEAM NO,TEAM,SEED,ROUND,AP VOTES,AP RANK,RANK?
2025,,Tennessee,,,1544,1,1
2025,,Auburn,,,1438,2,1
2025,,Iowa St.,,,1424,3,1
2025,,Duke,,,1295,4,1
2025,,Kentucky,,,1284,5,1
2025,,Marquette,,,1274,6,1
2025,,Alabama,,,1126,7,1
2025,,Gonzaga,,,1082,8,1
2025,,Florida,,,1030,9,1
2025,,Kansas,,,940,10,1
2025,,Purdue,,,840,11,1
2025,,Oregon,,,784,12,1
2025,,Oklahoma,,,567,13,1
2025,,Michigan,,,522,14,1
2025,,Houston,,,514,15,1
2025,,Clemson,,,491,16,1
2025,,Texas A&M,,,415,17,1
2025,,Connecticut,,,394,18,1
2025,,Mississippi,,,379,19,1
2025,,Wisconsin,,,307,20,1
2025,,Michigan St.,,,292,21,1
2025,,Cincinnati,,,288,22,1
2025,,San Diego St.,,,276,23,1
2025,,UCLA,,,229,24,1
2025,,Mississippi St.,,,179,25,1
2025,,Baylor,,,150,26,0
2025,,Arizona St.,,,143,27,0
2025,,Memphis,,,123,28,0
2025,,Missouri,,,119,29,0
2025,,Penn St.,,,90,30,0
2025,,Arkansas,,,89,31,0
2025,,Drake,,,67,32,0
2025,,Pittsburgh,,,62,33,0
2025,,Utah St.,,,57,34,0
2025,,Illinois,,,47,35,0
2025,,St. John's,,,43,36,0
2025,,Maryland,,,39,37,0
2025,,Dayton,,,38,38,0
2025,,Creighton,,,32,39,0
2025,,Indiana,,,30,40,0
2025,,West Virginia,,,30,41,0
2025,,North Carolina,,,24,42,0
2025,,Georgia,,,21,43,0
2025,,Saint Mary's,,,20,44,0
2025,,Texas,,,8,45,0
2025,,Rhode Island,,,3,46,0
2025,,Loyola Chicago,,,1,47,0
2024,1077,Arizona,2,16,1574,1,1
2024,1051,Kansas,4,32,1461,2,1
2024,1033,Purdue,1,2,1424,3,1
2024,1056,Houston,1,16,1416,4,1
2024,1067,Connecticut,1,1,1344,5,1
2024,1075,Baylor,3,32,1239,6,1
2024,1047,Marquette,2,16,1221,7,1
2024,1066,Creighton,3,16,1073,8,1
2024,1038,North Carolina,1,16,992,9,1
2024,1059,Gonzaga,5,16,860,10,1
2024,,Oklahoma,,,848,11,1
2024,1024,Tennessee,2,8,835,12,1
2024,1072,Clemson,6,8,746,13,1
2024,1050,Kentucky,3,64,677,14,1
2024,1060,Florida Atlantic,8,64,622,15,1
2024,1054,Illinois,3,8,589,16,1
2024,1068,Colorado St.,10,64,522,17,1
2024,1073,BYU,6,64,503,18,1
2024,1023,Texas,7,32,451,19,1
2024,1052,James Madison,12,32,441,20,1
2024,1063,Duke,4,8,315,21,1
2024,1017,Virginia,10,68,300,22,1
2024,1013,Wisconsin,5,64,213,23,1
2024,,Miami FL,,,156,24,1
2024,1036,Northwestern,9,32,147,25,1
2024,1069,Colorado,10,32,116,26,0
2024,,Mississippi,,,86,27,0
2024,1022,Texas A&M,9,32,58,28,0
2024,1076,Auburn,4,64,57,29,0
2024,,Memphis,,,56,30,0
2024,1078,Alabama,4,4,43,31,0
2024,,Utah,,,25,32,0
2024,1053,Iowa St.,2,16,20,33,0
2024,,Ohio St.,,,9,34,0
2024,,Providence,,,7,35,0
2024,1029,San Diego St.,5,16,7,36,0
2024,1025,TCU,9,64,6,37,0
2024,1040,Nevada,10,64,5,38,0
2024,1028,South Carolina,6,64,3,39,0
2024,1039,New Mexico,11,64,2,40,0
2024,,Washington,,,2,41,0
2024,1065,Dayton,7,32,1,42,0
2024,1057,Grand Canyon,12,32,1,43,0
2024,,Kansas St.,,,1,44,0
2024,,Saint Joseph's,,,1,45,0
2023,963,Purdue,1,64,1508,1,1
2023,946,Virginia,4,64,1476,2,1
2023,1002,Connecticut,4,1,1466,3,1
2023,1011,Alabama,1,16,1326,4,1
2023,993,Houston,1,16,1224,5,1
2023,958,Tennessee,4,16,1189,6,1
2023,957,Texas,2,8,1173,7,1
2023,986,Kansas,1,32,1165,8,1
2023,1010,Arizona,2,64,1096,9,1
2023,1008,Arkansas,8,16,1029,10,1
2023,1006,Baylor,3,32,881,11,1
2023,999,Duke,5,32,840,12,1
2023,982,Kentucky,6,32,688,13,1
2023,990,Indiana,4,32,622,14,1
2023,995,Gonzaga,3,8,621,15,1
2023,952,UCLA,2,16,606,16,1
2023,975,Mississippi St.,11,68,501,17,1
2023,991,Illinois,9,64,487,18,1
2023,1007,Auburn,9,32,453,19,1
2023,979,Maryland,8,32,414,20,1
2023,959,TCU,6,32,270,21,1
2023,,Wisconsin,,,255,22,1
2023,,Ohio St.,,,209,23,1
2023,,Virginia Tech,,,109,24,1
2023,977,Miami FL,5,4,100,25,1
2023,978,Memphis,8,64,74,26,0
2023,,Charleston,,,64,27,0
2023,1009,Arizona St.,11,64,39,28,0
2023,987,Iowa St.,6,64,39,29,0
2023,980,Marquette,2,32,39,30,0
2023,,UNLV,,,27,31,0
2023,944,Xavier,3,16,26,32,0
2023,988,Iowa,8,64,25,33,0
2023,945,West Virginia,9,64,20,34,0
2023,962,Saint Mary's,5,32,15,35,0
2023,961,San Diego St.,5,2,14,36,0
2023,,Texas Tech,,,14,37,0
2023,,New Mexico,,,12,38,0
2023,,Utah,,,12,39,0
2023,1001,Creighton,6,8,11,40,0
2023,976,Michigan St.,7,16,5,41,0
2023,949,Utah St.,10,64,4,42,0
2023,985,Kansas St.,3,8,2,43,0
2022,938,Baylor,1,32,1525,1,1
2022,927,Duke,2,4,1429,2,1
2022,900,Purdue,3,16,1319,3,1
2022,884,UCLA,4,16,1312,4,1
2022,925,Gonzaga,1,16,1291,5,1
2022,942,Alabama,6,64,1202,6,1
2022,918,Kansas,1,1,1181,7,1
2022,941,Arizona,1,16,1172,8,1
2022,881,Villanova,2,4,924,9,1
2022,883,USC,7,64,810,10,1
2022,920,Iowa St.,11,16,798,11,1
2022,909,Michigan St.,7,32,707,12,1
2022,939,Auburn,2,32,693,13,1
2022,924,Houston,5,8,683,14,1
2022,902,Ohio St.,7,32,656,15,1
2022,893,Seton Hall,8,64,635,16,1
2022,889,Texas,6,32,583,17,1
2022,890,Tennessee,3,32,390,18,1
2022,914,LSU,6,64,376,19,1
2022,931,Connecticut,5,64,360,20,1
2022,917,Kentucky,2,64,345,21,1
2022,,Xavier,,,301,22,1
2022,932,Colorado St.,6,64,251,23,1
2022,940,Arkansas,4,8,241,24,1
2022,886,Texas Tech,3,16,164,25,1
2022,879,Wisconsin,3,32,156,26,0
2022,904,North Carolina,8,2,85,27,0
2022,901,Providence,4,16,57,28,0
2022,,Oklahoma,,,46,29,0
2022,894,San Francisco,10,64,36,30,0
2022,923,Illinois,4,32,31,31,0
2022,,West Virginia,,,24,32,0
2022,915,Loyola Chicago,10,64,20,33,0
2022,910,Michigan,11,16,8,34,0
2022,,St. Bonaventure,,,6,35,0
2022,,BYU,,,4,36,0
2022,,Minnesota,,,3,37,0
2022,930,Creighton,9,32,1,38,0
2021,856,Gonzaga,1,2,1598,1,1
2021,871,Baylor,1,1,1537,2,1
2021,849,Kansas,3,32,1458,3,1
2021,814,Villanova,5,16,1370,4,1
2021,853,Houston,2,4,1313,5,1
2021,808,Wisconsin,9,32,1249,6,1
2021,824,Tennessee,5,64,1217,7,1
2021,823,Texas,3,64,1109,8,1
2021,811,West Virginia,3,32,1080,9,1
2021,850,Iowa,2,32,1008,10,1
2021,864,Creighton,5,16,926,11,1
2021,842,Missouri,9,64,888,12,1
2021,821,Texas Tech,6,32,821,13,1
2021,828,Rutgers,10,32,659,14,1
2021,852,Illinois,1,32,650,15,1
2021,844,Michigan,1,8,582,16,1
2021,843,Michigan St.,11,68,431,17,1
2021,859,Florida St.,4,16,377,18,1
2021,,Northwestern,,,350,19,1
2021,,Duke,,,290,20,1
2021,,Minnesota,,,252,21,1
2021,831,Oregon,7,16,252,22,1
2021,813,Virginia,4,64,238,23,1
2021,812,Virginia Tech,10,64,230,24,1
2021,835,Ohio St.,2,64,216,25,1
2021,,Xavier,,,178,26,0
2021,827,San Diego St.,6,64,172,27,0
2021,838,North Carolina,8,64,57,28,0
2021,872,Arkansas,3,8,55,29,0
2021,869,Clemson,7,64,50,30,0
2021,866,Colorado,5,32,50,31,0
2021,,Saint Louis,,,49,32,0
2021,860,Florida,7,32,20,33,0
2021,,Louisville,,,18,34,0
2021,870,BYU,6,64,12,35,0
2021,,Georgia,,,10,36,0
2021,,North Carolina St.,,,8,37,0
2021,,Indiana,,,4,38,0
2021,819,UCLA,11,4,4,39,0
2021,,Richmond,,,3,40,0
2021,,Boise St.,,,2,41,0
2021,,UCF,,,2,42,0
2021,,Western Kentucky,,,2,43,0
2021,,Chattanooga,,,1,44,0
2021,863,Drake,11,64,1,45,0
2021,,SMU,,,1,46,0
2019,787,Kansas,4,32,1583,1,1
2019,798,Duke,1,8,1454,2,1
2019,753,Tennessee,2,16,1421,3,1
2019,792,Gonzaga,1,8,1412,4,1
2019,779,Michigan,2,16,1398,5,1
2019,745,Virginia,1,1,1384,6,1
2019,772,Nevada,7,64,1283,7,1
2019,805,Auburn,5,4,1151,8,1
2019,778,Michigan St.,2,4,1066,9,1
2019,795,Florida St.,4,16,991,10,1
2019,752,Texas Tech,3,2,914,11,1
2019,770,North Carolina,1,16,890,12,1
2019,744,Virginia Tech,4,16,833,13,1
2019,801,Buffalo,6,32,664,14,1
2019,765,Ohio St.,11,32,621,15,1
2019,742,Wisconsin,5,64,599,16,1
2019,746,Villanova,6,32,532,17,1
2019,775,Mississippi St.,5,64,441,18,1
2019,785,Kentucky,2,8,385,19,1
2019,806,Arizona St.,11,64,351,20,1
2019,781,Marquette,5,64,281,21,1
2019,789,Iowa,10,32,208,22,1
2019,,Furman,,,189,23,1
2019,791,Houston,3,16,173,24,1
2019,,Indiana,,,118,25,1
2019,786,Kansas St.,4,64,118,26,1
2019,755,Syracuse,8,64,118,27,1
2019,,Nebraska,,,115,28,0
2019,780,Maryland,6,32,105,29,0
2019,764,Oklahoma,9,32,82,30,0
2019,800,Cincinnati,7,64,73,31,0
2019,756,St. John's,11,68,57,32,0
2019,760,Purdue,3,8,40,33,0
2019,,North Carolina St.,,,26,34,0
2019,788,Iowa St.,6,64,19,35,0
2019,,TCU,,,13,36,0
2019,,San Francisco,,,5,37,0
2019,,UCLA,,,3,38,0
2019,,Butler,,,2,39,0
2019,777,Minnesota,10,32,2,40,0
2019,,Davidson,,,1,41,0
2019,796,Florida,10,32,1,42,0
2019,,NJIT,,,1,43,0
2019,757,Seton Hall,10,64,1,44,0
2019,,Texas,,,1,45,0
2018,678,Villanova,1,1,1598,1,1
2018,709,Michigan St.,3,32,1561,2,1
2018,674,Wichita St.,4,64,1402,3,1
2018,725,Duke,2,8,1362,4,1
2018,737,Arizona St.,11,68,1316,5,1
2018,711,Miami FL,6,64,1272,6,1
2018,703,North Carolina,2,32,1237,7,1
2018,716,Kentucky,5,16,1227,8,1
2018,684,Texas A&M,7,16,1072,9,1
2018,672,Xavier,1,32,1044,10,1
2018,675,West Virginia,5,16,972,11,1
2018,721,Gonzaga,4,16,805,12,1
2018,718,Kansas,1,4,760,13,1
2018,687,TCU,6,64,718,14,1
2018,692,Seton Hall,8,32,704,15,1
2018,677,Virginia,1,64,690,16,1
2018,696,Purdue,2,16,568,17,1
2018,,Notre Dame,,,564,18,1
2018,723,Florida St.,9,8,452,19,1
2018,686,Tennessee,3,32,342,20,1
2018,,Baylor,,,281,21,1
2018,724,Florida,6,32,261,22,1
2018,738,Arizona,4,64,252,23,1
2018,682,Texas Tech,3,8,191,24,1
2018,730,Cincinnati,2,32,145,25,1
2018,727,Creighton,8,64,79,26,0
2018,699,Oklahoma,10,64,72,27,0
2018,685,Texas,10,64,52,28,0
2018,,Louisville,,,19,29,0
2018,736,Arkansas,7,64,17,30,0
2018,,Minnesota,,,15,31,0
2018,676,Virginia Tech,8,64,15,32,0
2018,705,Nevada,7,16,13,33,0
2018,,Mississippi St.,,,8,34,0
2018,,SMU,,,6,35,0
2018,681,UCLA,11,68,6,36,0
2018,713,Loyola Chicago,11,4,5,37,0
2018,739,Alabama,9,32,4,38,0
2018,,Georgia,,,3,39,0
2018,720,Houston,6,32,3,40,0
2018,,Northern Iowa,,,3,41,0
2018,,Towson,,,3,42,0
2018,,Boise St.,,,2,43,0
2018,688,Syracuse,11,16,2,44,0
2018,,Middle Tennessee,,,1,45,0
2018,694,Rhode Island,7,32,1,46,0
2017,612,Villanova,1,32,1613,1,1
2017,618,UCLA,3,16,1505,2,1
2017,654,Kansas,1,8,1455,3,1
2017,669,Baylor,3,16,1439,4,1
2017,663,Duke,2,32,1391,5,1
2017,651,Kentucky,2,8,1277,6,1
2017,638,North Carolina,1,1,1222,7,1
2017,658,Gonzaga,1,2,1195,8,1
2017,,Indiana,,,1124,9,1
2017,665,Creighton,6,64,1043,10,1
2017,650,Louisville,2,32,981,11,1
2017,608,West Virginia,4,16,864,12,1
2017,611,Virginia,5,32,848,13,1
2017,605,Wisconsin,8,16,779,14,1
2017,628,Purdue,4,16,652,15,1
2017,623,South Carolina,7,4,598,16,1
2017,604,Xavier,11,8,526,17,1
2017,667,Butler,4,16,492,18,1
2017,671,Arizona,2,16,436,19,1
2017,626,Saint Mary's,7,32,391,20,1
2017,633,Notre Dame,5,32,310,21,1
2017,631,Oregon,3,4,251,22,1
2017,659,Florida St.,3,32,227,23,1
2017,616,USC,11,32,158,24,1
2017,666,Cincinnati,6,32,155,25,1
2017,661,Florida,4,8,44,26,0
2017,607,Wichita St.,10,32,33,27,0
2017,610,Virginia Tech,9,64,32,28,0
2017,648,Maryland,6,64,31,29,0
2017,,Valparaiso,,,9,30,0
2017,,TCU,,,8,31,0
2017,644,Middle Tennessee,12,32,7,32,0
2017,647,Miami FL,8,64,6,33,0
2017,643,Minnesota,5,64,6,34,0
2017,653,Kansas St.,11,64,4,35,0
2017,645,Michigan St.,9,32,2,36,0
2017,,Ohio St.,,,2,37,0
2017,,Pittsburgh,,,2,38,0
2017,,Syracuse,,,2,39,0
2017,,UCF,,,2,40,0
2017,,Clemson,,,1,41,0
2017,656,Iowa St.,5,32,1,42,0
2017,,Loyola Chicago,,,1,43,0
2016,572,Michigan St.,2,64,1621,1,1
2016,578,Kansas,1,8,1499,2,1
2016,567,Oklahoma,2,4,1409,3,1
2016,577,Kentucky,4,32,1385,4,1
2016,579,Iowa St.,4,16,1370,5,1
2016,575,Maryland,5,16,1353,6,1
2016,591,Duke,4,16,1271,7,1
2016,542,Virginia,1,8,1132,8,1
2016,562,Purdue,5,64,1082,9,1
2016,537,Xavier,2,32,1062,10,1
2016,570,North Carolina,1,2,1023,11,1
2016,543,Villanova,2,1,865,12,1
2016,603,Arizona,6,64,860,13,1
2016,563,Providence,9,32,724,14,1
2016,574,Miami FL,3,16,622,15,1
2016,601,Baylor,5,64,605,16,1
2016,599,Butler,9,32,562,17,1
2016,,SMU,,,560,18,1
2016,,Louisville,,,534,19,1
2016,540,West Virginia,3,64,466,20,1
2016,,George Washington,,,256,21,1
2016,,UCLA,,,213,22,1
2016,595,Cincinnati,9,64,197,23,1
2016,552,Texas A&M,3,16,152,24,1
2016,593,Connecticut,9,32,47,25,1
2016,587,Gonzaga,11,16,44,26,0
2016,,South Carolina,,,42,27,0
2016,566,Oregon,1,8,37,28,0
2016,594,Colorado,8,64,21,29,0
2016,545,Vanderbilt,11,68,18,30,0
2016,539,Wichita St.,11,32,17,31,0
2016,592,Dayton,7,64,14,32,0
2016,576,Little Rock,12,32,14,33,0
2016,564,Pittsburgh,10,64,12,34,0
2016,,Georgetown,,,8,35,0
2016,546,Utah,3,32,7,36,0
2016,568,Notre Dame,6,8,4,37,0
2016,553,Texas,6,64,4,38,0
2016,580,Iowa,7,32,3,39,0
2016,,Northwestern,,,3,40,0
2016,555,Syracuse,10,4,3,41,0
2016,,Army,,,1,42,0
2016,,Florida,,,1,43,0
2016,,Houston,,,1,44,0
2016,,Marquette,,,1,45,0
2015,510,Kentucky,1,4,1625,1,1
2015,522,Duke,1,1,1545,2,1
2015,534,Arizona,2,8,1505,3,1
2015,508,Louisville,4,8,1349,4,1
2015,471,Wisconsin,1,2,1331,5,1
2015,474,Virginia,2,32,1294,6,1
2015,475,Villanova,1,32,1215,7,1
2015,517,Gonzaga,2,8,1175,8,1
2015,483,Texas,11,64,1154,9,1
2015,511,Kansas,2,32,1102,10,1
2015,472,Wichita St.,7,16,959,11,1
2015,494,Ohio St.,10,32,838,12,1
2015,512,Iowa St.,3,64,772,13,1
2015,478,Utah,5,16,670,14,1
2015,493,Oklahoma,3,16,647,15,1
2015,,Washington,,,598,16,1
2015,505,Maryland,4,32,512,17,1
2015,,Miami FL,,,426,18,1
2015,487,San Diego St.,8,32,424,19,1
2015,485,St. John's,9,64,353,20,1
2015,495,Notre Dame,3,8,351,21,1
2015,473,West Virginia,5,16,333,22,1
2015,528,Butler,6,32,259,23,1
2015,501,North Carolina,4,16,122,24,1
2015,504,Michigan St.,7,4,116,25,1
2015,532,Baylor,3,64,97,26,0
2015,,TCU,,,80,27,0
2015,,Colorado St.,,,75,28,0
2015,496,Northern Iowa,5,32,65,29,0
2015,520,Georgetown,4,32,41,30,0
2015,,California,,,37,31,0
2015,533,Arkansas,5,32,19,32,0
2015,,Seton Hall,,,14,33,0
2015,476,VCU,7,64,6,34,0
2015,507,LSU,9,64,4,35,0
2015,492,Oklahoma St.,9,64,4,36,0
2015,,Old Dominion,,,4,37,0
2015,,Penn St.,,,3,38,0
2015,524,Davidson,10,64,1,39,0
2014,465,Arizona,1,8,1623,1,1
2014,414,Syracuse,3,32,1522,2,1
2014,425,Ohio St.,6,64,1453,3,1
2014,402,Wisconsin,2,4,1318,4,1
2014,435,Michigan St.,4,8,1311,5,1
2014,441,Louisville,4,16,1262,6,1
2014,423,Oklahoma St.,9,64,1160,7,1
2014,453,Duke,3,64,1040,8,1
2014,457,Connecticut,7,1,981,9,1
2014,407,Villanova,2,32,938,10,1
2014,443,Kentucky,8,2,926,11,1
2014,403,Wichita St.,1,32,884,12,1
2014,445,Kansas,2,32,862,13,1
2014,463,Baylor,6,16,843,14,1
2014,422,Oregon,7,32,831,15,1
2014,438,Memphis,8,32,768,16,1
2014,446,Iowa St.,3,16,606,17,1
2014,429,North Carolina,6,32,450,18,1
2014,451,Florida,1,4,434,19,1
2014,449,Gonzaga,8,32,365,20,1
2014,458,Colorado,8,64,330,21,1
2014,439,Massachusetts,6,64,326,22,1
2014,447,Iowa,11,68,207,23,1
2014,,Missouri,,,203,24,1
2014,417,San Diego St.,4,16,159,25,1
2014,409,UCLA,4,16,104,26,0
2014,431,New Mexico,7,64,62,27,0
2014,421,Pittsburgh,9,32,47,28,0
2014,,Boise St.,,,34,29,0
2014,436,Michigan,2,8,26,30,0
2014,408,VCU,5,64,17,31,0
2014,455,Dayton,11,8,11,32,0
2014,460,Cincinnati,5,64,5,33,0
2014,448,Harvard,12,32,5,34,0
2014,,Indiana,,,3,35,0
2014,,Saint Mary's,,,3,36,0
2014,456,Creighton,3,32,2,37,0
2014,450,George Washington,9,64,2,38,0
2014,424,Oklahoma,5,64,1,39,0
2014,,Toledo,,,1,40,0
2013,379,Indiana,1,16,1580,1,1
2013,386,Duke,2,8,1551,2,1
2013,366,Michigan,4,2,1444,3,1
2013,341,Syracuse,4,4,1378,4,1
2013,385,Florida,3,8,1319,5,1
2013,370,Louisville,1,1,1303,6,1
2013,352,Ohio St.,2,8,1211,7,1
2013,397,Arizona,6,16,1178,8,1
2013,375,Kansas,1,16,1087,9,1
2013,380,Illinois,7,32,991,10,1
2013,391,Cincinnati,10,64,944,11,1
2013,361,Missouri,9,64,877,12,1
2013,363,Minnesota,11,32,714,13,1
2013,382,Gonzaga,1,32,699,14,1
2013,383,Georgetown,2,64,577,15,1
2013,388,Creighton,7,32,525,16,1
2013,359,New Mexico,3,64,512,17,1
2013,344,San Diego St.,7,32,491,18,1
2013,365,Michigan St.,3,16,328,19,1
2013,338,UNLV,5,64,305,20,1
2013,357,North Carolina,8,32,298,21,1
2013,353,Notre Dame,7,64,283,22,1
2013,333,Wichita St.,9,4,280,23,1
2013,350,Oklahoma St.,5,64,251,24,1
2013,355,North Carolina St.,8,64,213,25,1
2013,349,Oregon,12,16,177,26,0
2013,347,Pittsburgh,8,64,177,27,0
2013,,Kentucky,,,44,28,0
2013,,Wyoming,,,15,29,0
2013,,Connecticut,,,10,30,0
2013,369,Marquette,3,8,8,31,0
2013,336,VCU,5,32,6,32,0
2013,393,Butler,6,32,5,33,0
2013,,Maryland,,,5,34,0
2013,,Murray St.,,,4,35,0
2013,,Alabama,,,3,36,0
2013,367,Miami FL,2,16,3,37,0
2013,,Virginia Tech,,,3,38,0
2013,,LSU,,,1,39,0
2012,277,Syracuse,1,8,1607,1,1
2012,286,Ohio St.,2,4,1478,2,1
2012,308,Kentucky,1,1,1468,3,1
2012,303,Louisville,4,4,1374,4,1
2012,290,North Carolina,1,8,1373,5,1
2012,330,Baylor,3,8,1284,6,1
2012,319,Duke,2,64,1273,7,1
2012,264,Xavier,10,16,1122,8,1
2012,323,Connecticut,9,64,1087,9,1
2012,296,Missouri,2,64,1030,10,1
2012,301,Marquette,3,16,988,11,1
2012,310,Kansas,2,2,945,12,1
2012,318,Florida,7,8,891,13,1
2012,265,Wisconsin,4,16,728,14,1
2012,,Pittsburgh,,,696,15,1
2012,316,Georgetown,3,32,602,16,1
2012,,Mississippi St.,,,574,17,1
2012,313,Indiana,4,16,462,18,1
2012,,Illinois,,,375,19,1
2012,299,Michigan,4,64,354,20,1
2012,298,Michigan St.,1,16,310,21,1
2012,,Texas A&M,,,270,22,1
2012,331,Alabama,9,64,204,23,1
2012,294,Murray St.,6,32,93,24,1
2012,322,Creighton,8,32,88,25,1
2012,272,Vanderbilt,5,32,88,26,1
2012,314,Harvard,12,64,73,27,0
2012,282,San Diego St.,6,64,59,28,0
2012,269,Virginia,10,64,57,29,0
2012,273,UNLV,6,64,41,30,0
2012,,Stanford,,,39,31,0
2012,284,Saint Louis,9,32,26,32,0
2012,315,Gonzaga,7,32,25,33,0
2012,300,Memphis,8,64,13,34,0
2012,,Cleveland St.,,,7,35,0
2012,,Northern Iowa,,,7,36,0
2012,,Arizona,,,5,37,0
2012,327,California,12,68,3,38,0
2012,304,Long Beach St.,12,64,3,39,0
2012,,Northwestern,,,2,40,0
2012,266,Wichita St.,5,64,1,41,0
2011,252,Duke,1,16,1625,1,1
2011,226,Ohio St.,1,16,1547,2,1
2011,242,Kansas,1,8,1467,3,1
2011,253,Connecticut,3,1,1343,4,1
2011,216,Syracuse,3,32,1331,5,1
2011,241,Kansas St.,5,32,1320,6,1
2011,214,Tennessee,9,64,1316,7,1
2011,223,Pittsburgh,1,32,1137,8,1
2011,,Baylor,,,1023,9,1
2011,201,Villanova,9,64,926,10,1
2011,218,San Diego St.,2,16,914,11,1
2011,244,Illinois,9,32,779,12,1
2011,232,Missouri,11,64,771,13,1
2011,233,Michigan St.,10,64,755,14,1
2011,248,Georgetown,6,64,722,15,1
2011,256,BYU,3,16,688,16,1
2011,240,Kentucky,4,4,668,17,1
2011,235,Memphis,12,64,561,18,1
2011,221,Purdue,3,32,506,19,1
2011,237,Louisville,4,64,464,20,1
2011,,Minnesota,,,336,21,1
2011,213,Texas,4,32,181,22,1
2011,207,UNLV,8,64,181,23,1
2011,228,Notre Dame,2,32,165,24,1
2011,212,Texas A&M,7,64,105,25,1
2011,,UCF,,,62,26,0
2011,251,Florida,2,8,55,27,0
2011,200,Washington,7,32,37,28,0
2011,215,Temple,7,32,30,29,0
2011,203,Vanderbilt,5,64,29,30,0
2011,230,North Carolina,2,8,21,31,0
2011,,Cleveland St.,,,15,32,0
2011,261,Arizona,5,8,8,33,0
2011,198,Wisconsin,4,16,8,34,0
2011,,Saint Mary's,,,6,35,0
2011,255,Cincinnati,6,32,5,36,0
2011,,Northwestern,,,5,37,0
2011,,Washington St.,,,5,38,0
2011,220,Richmond,12,16,3,39,0
2011,225,Old Dominion,9,64,2,40,0
2011,199,West Virginia,5,32,2,41,0
2011,,Boston College,,,1,42,0
2010,180,Kansas,1,32,1620,1,1
2010,146,Texas,8,64,1512,2,1
2010,178,Kentucky,1,8,1486,3,1
2010,156,Purdue,4,16,1426,4,1
2010,149,Syracuse,1,16,1388,5,1
2010,135,West Virginia,2,4,1315,6,1
2010,188,Duke,1,1,1137,7,1
2010,138,Villanova,2,32,1107,8,1
2010,147,Tennessee,6,8,1104,9,1
2010,,North Carolina,,,1039,10,1
2010,184,Georgetown,3,64,1008,11,1
2010,173,Michigan St.,5,4,922,12,1
2010,186,Florida,10,64,864,13,1
2010,,Connecticut,,,762,14,1
2010,182,Gonzaga,8,32,505,15,1
2010,,Texas Tech,,,492,16,1
2010,179,Kansas St.,2,8,391,17,1
2010,160,Ohio St.,2,16,383,18,1
2010,167,New Mexico,3,32,364,19,1
2010,,Mississippi,,,334,20,1
2010,193,Butler,5,2,257,21,1
2010,183,Georgia Tech,10,32,253,22,1
2010,145,Texas A&M,5,32,221,23,1
2010,136,Washington,11,16,179,24,1
2010,,Cincinnati,,,174,25,1
2010,,Memphis,,,129,26,0
