YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND,SCORE
2024,2014,2014,1067,Connecticut,1,1,64,91
2024,2013,2013,1026,Stetson,16,64,64,52
2024,2012,2012,1060,Florida Atlantic,8,64,64,65
2024,2011,2011,1036,Northwestern,9,32,64,77
2024,2010,2010,1029,San Diego St.,5,16,64,69
2024,2009,2009,1020,UAB,12,64,64,65
2024,2008,2008,1076,Auburn,4,64,64,76
2024,2007,2007,1012,Yale,13,32,64,78
2024,2006,2006,1073,BYU,6,64,64,67
2024,2005,2005,1062,Duquesne,11,32,64,71
2024,2004,2004,1054,Illinois,3,8,64,85
2024,2003,2003,1042,Morehead St.,14,64,64,69
2024,2002,2002,1015,Washington St.,7,32,64,66
2024,2001,2001,1064,Drake,10,64,64,61
2024,2000,2000,1053,Iowa St.,2,16,64,82
2024,1999,1999,1027,South Dakota St.,15,64,64,65
2024,1998,1998,1038,North Carolina,1,16,64,90
2024,1997,1997,1016,Wagner,16,64,64,62
2024,1996,1996,1044,Mississippi St.,8,64,64,51
2024,1995,1995,1045,Michigan St.,9,32,64,69
2024,1994,1994,1032,Saint Mary's,5,64,64,66
2024,1993,1993,1057,Grand Canyon,12,32,64,75
2024,1992,1992,1078,Alabama,4,4,64,109
2024,1991,1991,1070,College of Charleston,13,64,64,96
2024,1990,1990,1072,Clemson,6,8,64,77
2024,1989,1989,1039,New Mexico,11,64,64,56
2024,1988,1988,1075,Baylor,3,32,64,92
2024,1987,1987,1071,Colgate,14,64,64,67
2024,1986,1986,1065,Dayton,7,32,64,63
2024,1985,1985,1040,Nevada,10,64,64,60
2024,1984,1984,1077,Arizona,2,16,64,85
2024,1983,1983,1049,Long Beach St.,15,64,64,65
2024,1982,1982,1056,Houston,1,16,64,86
2024,1981,1981,1048,Longwood,16,64,64,46
2024,1980,1980,1041,Nebraska,8,64,64,83
2024,1979,1979,1022,Texas A&M,9,32,64,98
2024,1978,1978,1013,Wisconsin,5,64,64,61
